entry,total,count,measure,se,infit,z_infit,outfit,z_outfit,corr,exp,obs,match,person
1,19,25,1.17,0.47,0.99,0.03,0.96,-0.08,0.19,0.11,76,76,1
2,22,25,2.02,0.62,0.98,0.11,0.95,0.06,0.19,0.08,88,88,1
3,17,25,0.76,0.43,0.99,-0.04,0.99,0.02,0.16,0.11,68,68,0
4,11,25,-0.24,0.41,0.9,-1.46,0.9,-1.39,0.51,0.12,68,56.8,0
5,17,25,0.76,0.43,0.99,-0.04,0.98,-0.06,0.18,0.11,68,68,0
6,21,25,1.68,0.55,0.99,0.1,0.99,0.1,0.12,0.09,84,84,0
7,21,25,1.68,0.55,0.98,0.07,0.96,0.01,0.19,0.09,84,84,1
8,19,25,1.17,0.47,1.02,0.16,1.02,0.16,0.03,0.11,76,76,1
9,16,25,0.58,0.42,0.95,-0.39,0.95,-0.39,0.33,0.12,64,64,0
10,18,25,0.96,0.45,0.95,-0.2,0.93,-0.26,0.33,0.11,72,72,0
11,17,25,0.76,0.43,0.95,-0.24,0.94,-0.32,0.32,0.11,68,68,1
12,12,25,-0.08,0.4,1.02,0.47,1.03,0.49,0.03,0.12,60,55.6,0
13,19,25,1.17,0.47,1.03,0.21,1.05,0.27,-0.03,0.11,76,76,1
14,16,25,0.58,0.42,0.91,-0.67,0.9,-0.74,0.47,0.12,64,64,0
15,22,25,2.02,0.62,1.01,0.17,1,0.16,0.06,0.08,88,88,1
16,23,25,2.47,0.74,1.03,0.25,1.19,0.49,-0.15,0.07,92,92,1
17,21,25,1.68,0.55,0.94,-0.05,0.87,-0.22,0.39,0.09,84,84,0
18,20,25,1.4,0.5,0.94,-0.1,0.89,-0.27,0.38,0.1,80,80,1
19,17,25,0.76,0.43,1.07,0.47,1.09,0.61,-0.19,0.11,68,68,1
20,17,25,0.76,0.43,0.96,-0.2,0.95,-0.28,0.29,0.11,68,68,1
21,20,25,1.4,0.5,0.97,-0.01,0.95,-0.05,0.24,0.1,80,80,0
22,17,25,0.76,0.43,1.09,0.59,1.12,0.74,-0.27,0.11,68,68,1
23,15,25,0.41,0.41,1.07,0.78,1.08,0.86,-0.18,0.12,52,60.3,1
24,13,25,0.08,0.4,1.05,0.95,1.05,0.94,-0.07,0.12,40,55.3,0
25,14,25,0.24,0.41,0.97,-0.49,0.96,-0.51,0.26,0.12,52,57.1,0
26,22,25,2.02,0.62,0.99,0.13,0.92,-0.02,0.18,0.08,88,88,1
27,12,25,-0.08,0.4,1.01,0.24,1.01,0.26,0.07,0.12,52,55.6,0
28,24,25,3.21,1.02,0.99,0.3,0.85,0.16,0.16,0.05,96,96,1
29,19,25,1.17,0.47,0.94,-0.16,0.9,-0.32,0.37,0.11,76,76,1
30,19,25,1.17,0.47,0.97,-0.03,0.95,-0.13,0.23,0.11,76,76,1
31,22,25,2.02,0.62,1.05,0.26,1.19,0.54,-0.23,0.08,88,88,1
32,23,25,2.47,0.74,0.97,0.16,0.86,-0.02,0.27,0.07,92,92,0
33,18,25,0.96,0.45,1.07,0.41,1.09,0.49,-0.18,0.11,72,72,1
34,23,25,2.47,0.74,1.04,0.27,1.23,0.55,-0.24,0.07,92,92,1
35,24,25,3.21,1.02,1.02,0.34,1.24,0.56,-0.16,0.05,96,96,1
36,18,25,0.96,0.45,0.97,-0.07,0.97,-0.09,0.22,0.11,72,72,0
37,23,25,2.47,0.74,0.99,0.19,1.06,0.31,0.06,0.07,92,92,1
38,22,25,2.02,0.62,1.03,0.22,1.12,0.39,-0.11,0.08,88,88,1
39,22,25,2.02,0.62,1.04,0.23,1.12,0.4,-0.14,0.08,88,88,1
40,17,25,0.76,0.43,0.95,-0.24,0.94,-0.3,0.31,0.11,68,68,0
41,13,25,0.08,0.4,0.94,-1.21,0.94,-1.21,0.37,0.12,72,55.3,0
42,18,25,0.96,0.45,1.01,0.09,1.03,0.2,0.07,0.11,72,72,0
43,21,25,1.68,0.55,1,0.12,1.01,0.17,0.08,0.09,84,84,1
44,14,25,0.24,0.41,1.04,0.62,1.04,0.58,-0.04,0.12,52,57.1,1
45,17,25,0.76,0.43,0.96,-0.21,0.94,-0.31,0.3,0.11,68,68,1
46,16,25,0.58,0.42,1,0.07,1.01,0.1,0.1,0.12,64,64,0
47,21,25,1.68,0.55,0.99,0.09,0.93,-0.05,0.18,0.09,84,84,1
48,21,25,1.68,0.55,1.04,0.24,1.12,0.43,-0.15,0.09,84,84,1
49,22,25,2.02,0.62,0.99,0.13,0.93,0.01,0.18,0.08,88,88,1
50,17,25,0.76,0.43,0.99,0,0.98,-0.04,0.16,0.11,68,68,0
51,19,25,1.17,0.47,0.99,0.05,0.99,0.05,0.13,0.11,76,76,1
52,19,25,1.17,0.47,1.04,0.26,1.08,0.4,-0.11,0.11,76,76,1
53,14,25,0.24,0.41,1.08,1.12,1.08,1.15,-0.19,0.12,52,57.1,0
54,21,25,1.68,0.55,1.01,0.16,1.02,0.17,0.04,0.09,84,84,1
